"","GSM333436","GSM333437","GSM333438","GSM333439","GSM333440","GSM333441","GSM333442","GSM333443","GSM333444","GSM333445","GSM333446","GSM333447","GSM333448","GSM333449","GSM333450","GSM333451","GSM333452","GSM333453","GSM333454","GSM333455","GSM333456"
"RFC2",7.307004,6.9436965,6.251595,6.6702943,6.2814484,6.5489492,7.081101,6.7075124,6.6480026,5.8939743,7.500493,7.0098057,7.21018,5.9068203,6.7956314,5.9904385,6.4326143,6.4697995,6.45715,5.8738494,5.9505887
"HSPA6",3.182125,3.3990104,4.073724,4.641001,2.7457807,3.6335216,5.162483,4.8889213,4.828152,4.4768043,2.1723156,4.7069926,3.2469633,5.243306,2.5348988,5.11083,3.0720658,3.608008,4.86393,3.6191618,4.3384633
"PAX8",6.763029,6.9174485,6.4009514,5.2179003,6.842085,5.3871927,7.024582,7.168224,6.385455,6.1143074,7.703677,6.8969736,7.0596995,6.5525074,6.364314,6.169057,6.9640193,7.240323,7.329115,6.7083297,7.0794
"ESRRA",9.898127,8.869542,8.843806,9.733273,10.269441,9.291846,9.886029,9.069415,8.523663,9.249767,9.821811,8.72702,8.697281,8.920076,8.366937,9.115655,8.891103,9.14348,9.295427,8.470349,8.705188
"SCARB1",6.1477723,6.106422,5.4497333,5.978374,4.3759007,6.0278015,6.2725315,5.999291,5.8610296,5.348223,6.720247,5.8144846,5.6148562,6.0590696,6.2906866,5.542563,5.958192,5.924088,6.3232894,5.280816,5.8954406
"TTLL12",6.4961424,6.492758,6.077409,7.2121153,7.16865,5.581096,6.932392,7.6813493,6.181959,6.257967,7.106812,6.9321795,7.73169,5.776711,5.9105854,6.423464,5.9832253,6.4629498,6.3527775,5.828686,5.828628
"CYTOR",4.7122526,2.2595525,2.8007736,3.5648346,4.658236,3.7621918,4.088273,4.267328,4.2328787,3.6026711,4.49335,4.3210716,3.2906022,2.4723895,4.7694025,4.8470902,5.0144587,1.2174652,4.244671,4.1412134,1.9815774
"MSANTD3",7.46106,7.200309,6.8871355,6.796369,7.232182,6.836011,7.4291434,7.1611147,6.653249,6.5183315,7.367663,7.4304643,7.6504536,6.692117,6.611563,6.6127753,7.31688,6.6752863,6.772619,6.774078,6.425128
"SLC46A1",5.202414,5.5063367,4.8776402,5.4396615,6.17391,5.1398335,5.257157,5.7613363,5.098244,4.434497,6.4046216,5.8146005,4.9993863,5.3238664,5.350853,5.809946,5.22111,5.9784517,5.400537,5.8333607,5.4823017
"SLC39A5",3.7035053,4.495294,4.828592,4.5621824,5.9095855,4.5669656,3.5404575,5.7443013,2.4535182,3.478538,5.5735164,3.644954,5.1088233,4.8142776,5.284079,3.7560709,4.8939238,5.5929837,6.057495,5.4623775,5.9164424
